type	latitude	longitude	altitude (m)	name	desc
T	20.301601672	77.191596214	472.1		
T	20.312309228	77.257177626	452.3		
T	20.354738373	77.454105493	430.7		
T	20.365369762	77.508868471	421.2		
T	20.376049007	77.574611162	394.3		
T	20.386706311	77.640379817	380.5		
T	20.397180803	77.673278552	346.5		
T	20.397637064	77.761043615	332.3		
T	20.398159379	77.870801339	340.8		
T	20.398484272	77.947657616	360.9		
T	20.419449568	78.035600809	411.2		
T	20.429958494	78.079633034	387.6		
T	20.451023747	78.178790677	324.2		
T	20.471966660	78.256001234	281.0		
T	20.503385583	78.388467252	249.7		
T	20.524208042	78.432777211	240.3		
T	20.545331354	78.565550950	250.3		
T	20.597829209	78.842941872	222.5		
T	20.608323053	78.909624455	221.0		
T	20.649923681	79.021155318	243.8		
T	20.660337084	79.065727431	256.2		
T	20.681210096	79.155042701	249.5		
T	20.691724805	79.255477547	256.6		
T	20.702139899	79.300229382	270.8		
T	20.722940454	79.378642002	284.3		
T	20.722970353	79.445623911	268.6		
